epoch,test_accuracy,start_time,cur_time
1,97.95,1629376587.555623,1629376593.3031917
2,98.62,1629376587.555623,1629376599.113941
3,98.52,1629376587.555623,1629376605.10919
4,98.92,1629376587.555623,1629376610.9732833
5,99.05,1629376587.555623,1629376616.7921114
6,99.1,1629376587.555623,1629376622.7159693
7,99.13,1629376587.555623,1629376628.5304766
8,99.02,1629376587.555623,1629376634.3890254
9,99.16,1629376587.555623,1629376640.4433103
10,99.1,1629376587.555623,1629376646.2498877
11,99.15,1629376587.555623,1629376652.2172434
12,99.1,1629376587.555623,1629376658.2393312
13,99.17,1629376587.555623,1629376664.2263176
14,99.18,1629376587.555623,1629376670.267835
15,99.29,1629376587.555623,1629376676.149593
16,99.27,1629376587.555623,1629376681.998353
17,99.29,1629376587.555623,1629376687.8731842
18,99.19,1629376587.555623,1629376693.758098
19,99.32,1629376587.555623,1629376699.7125294
20,99.27,1629376587.555623,1629376705.5809715
